College Name,State,District/City,Departments,Department Count
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Maharashtra,Nashik,Engineering/BTech,1
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Technology, Agastkhind, Tal Sinner",Maharashtra,Nashik,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Amrutvahini Sheti & Shikshan Vikas Sanstha (AVCOE & Polytechnic), Sangamner",Maharashtra,Ahmednagar,Civil Engineering; Computer Technology; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering; Mechatronics,8
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Maharashtra,Ahmednagar,Engineering/BTech,1
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini Polytechnic, Amrutnagar",Maharashtra,Ahmednagar,Civil Engineering; Computer Technology; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering; Mechatronics,6
"Anand Charitable Trust Ashtis Arts, Science And Commerce College, Amalner, Place- Patoda City, Taluka - Patoda",Maharashtra,Jalgaon,Arts; Commerce; Science,3
"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed",Maharashtra,Beed,Civil Engineering; Computer Engineering; Mechanical Engineering,3
Anand Institute Of Management,Maharashtra,Aurangabad,Management,1
Anand Vishwa Gurukul Senior Night College,Maharashtra,Thane,BBA; Commerce; Information Technology,3
"Anandi College of Pharmacy, Kalambe Tarf Kale, Tal. Karvir, Dist. Kolhapur",Maharashtra,Kolhapur,Pharmacy,1
"Anandi Vidhi Mahavidyalay, Kalambe Tarf Kale, Tal. Karveer, Dist. Kolhapur",Maharashtra,Kolhapur,Law,1
Anandibai Damodar Kale Degree College of Arts & Commerce,Maharashtra,Mumbai,Arts; Commerce,2
"Anandrao Dhonde Alias Babaji Arts Commerce & Science College, Kada, Place- Kada, Taluka - Ashti",Maharashtra,Beed,Arts; Commerce; Science,3
"Anantrao Pawar College of Architecture, Parvati, Pune",Maharashtra,Pune,Architecture,1
"Anantrao Pawar College of Engineering & Research and Architecture, Pune",Maharashtra,Pune,Architecture; Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; MCA; Mechanical Engineering,8
"Anantrao Pawar College of Engineering & Research, Pune",Maharashtra,Pune,Engineering/BTech,1
ANDARSUL SHIKSHAN PRASARAK MANDAL ANDARSUL MATOSHRI SHANTABAI GOVINDRAO SONAWANE ARTS COMMERCE AND SCIENCE SENIOR COLLEGE ANDARSUL,Maharashtra,Nashik,BSc,1
Anekant Education Society Tuljaram Chaturchand College,Maharashtra,Pune,BSc; MCA,2
Anjuman -I- Islam School of Pharmacy,Maharashtra,Raigad,Pharmacy,1
Anjuman -I- Islams School of Architecture,Maharashtra,Raigad,Architecture,1
Anjuman -I- Islams School of Engineering & Technology,Maharashtra,Raigad,Engineering,1
"Anjuman College of Engineering & Technology, Nagpur",Maharashtra,Nagpur,Engineering/BTech,1
"Anjuman Hami-E-Islam (Anjuman COE & Polytechnic), Nagpur",Maharashtra,Nagpur,Artificial Intelligence (AI) and Machine Learning; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Mechanical Engineering; Science & Humanities,8
"Anjuman Hami-E-Islam's Anjuman Polytechnic, Nagpur",Maharashtra,Nagpur,Artificial Intelligence; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,6
"ANJUMAN ISLAM JANJIRA DEGREE COLLEGE OF COMMERCE, SHRIWARDHAN",Maharashtra,Raigad,Commerce,1
"Anjuman Islam Janjira Degree College of Science, Janjira",Maharashtra,Raigad,Science,1
Anjuman Khairul Islam Poona College,Maharashtra,Pune,BSc; MCA,2
Anjuman Khairul Islam Poona Institute of Management Sciences and Entrepreneurship,Maharashtra,Pune,MBA (IT),1
Anjuman-I-Islam College of Hotel & Tourism Management Studies & Research,Maharashtra,Mumbai,Management,1
Anjuman-I-Islam Institute of Hospitality Management,Maharashtra,Mumbai,Management,1
"Anjuman-I-Islam's Abdul Razzak Kalsekar Polytechnic,Panvel, Navi Mumbai",Maharashtra,Thane,Artificial Intelligence; Automation and Robotics; Civil Engineering; Computer Engineering; Mechanical Engineering; Mechatronics,6
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Maharashtra,Raigad,Architecture; Engineering/BTech,2
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Maharashtra,Mumbai,Engineering/BTech,1
Anjuman-I-Islams Akbar Peerbhoy College of Commerce & Economics,Maharashtra,Mumbai,Commerce,1
Anjuman-I-Islams Allana Institute of Management Studies,Maharashtra,Mumbai,Management,1
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Maharashtra,Nagpur,Engineering/BTech,1
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Maharashtra,Nagpur,Engineering/BTech,1
"Ankushrao Tope College,Jalna",Maharashtra,Jalna,Arts; BCA; Commerce; Science,4
"Annasaheb Dange College of B Pharmacy, Ashta, Tal.Walwa, Dist, Sangli",Maharashtra,Sangli,Pharmacy,1
"Annasaheb Dange College of Engineering and Technology, ASHTA – 416 301 Tal: Walwa, Dist:Sangli (Autonomous from 2017-18)",Maharashtra,Sangli,Engineering,1
"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Maharashtra,Sangli,Aeronautical Engineering; Artificial Intelligence and Data Science; Civil Engineering; Computer Science and Engineering; Electrical Engineering; Engineering/BTech; Internet of Things (IoT); Mechanical Engineering,8
Anujman-I-Islams Barrister A.R. Antulay College of Law,Maharashtra,Mumbai,Law,1
"Anuradha College of Pharmacy, Chikhli",Maharashtra,Buldhana,Pharmacy,1
Anuradha Engg. College Chikhli,Maharashtra,Buldhana,Engineering,1
"Apeejay Institute Of Hospitality, Belapur",Maharashtra,Mumbai,Hotel Management; Travel and Tourism,2
Apex Institute Of Computer & Management Studies,Maharashtra,Aurangabad,Management,1
"Appasaheb Birnale College of Architecture, South Shivajinagar, Sangli-Miraj Road, SANGLI-416 416",Maharashtra,Sangli,Architecture,1
"Appasaheb Birnale College of Education, Sangli.",Maharashtra,Sangli,Education,1
"Appasaheb Birnale College of Pharmacy, South Shivajinagar, Sangli Miraj Road, SANGLI-416 416",Maharashtra,Sangli,Pharmacy,1
"Appaswami Mv., Shendurjana Adhao",Maharashtra,Washim,Arts,1
